"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32175","add_to_cart_checkout","FR Checkoutsuite","Thu Oct 23 16:23:31 UTC 2025","passed","Thu Oct 23 16:24:04 UTC 2025","","Checkout\Checkout_FR\SeQura_checkout.spec.ts","",""
"","71407","add_to_cart_checkout","DE Checkoutsuite","Thu Oct 23 16:19:50 UTC 2025","passed","Thu Oct 23 16:21:02 UTC 2025","","Checkout\Checkout_DE\KlarnaDe_Checkout.spec.ts","",""
"","100008","add_to_cart_checkout","ui","Thu Oct 23 16:19:50 UTC 2025","failed","Thu Oct 23 16:21:30 UTC 2025","","Checkout\Checkout_fr\Klarna_checkout.spec.ts","",""
"","36675","add_to_cart_checkout","ui","Thu Oct 23 16:21:56 UTC 2025","passed","Thu Oct 23 16:22:33 UTC 2025","","Checkout\Checkout_fr\Strip_checkout.spec.ts","",""
"","41639","add_to_cart_checkout","FR Checkoutsuite","Thu Oct 23 16:22:50 UTC 2025","passed","Thu Oct 23 16:23:31 UTC 2025","","Checkout\Checkout_FR\Scalapay_checkout.spec.ts","",""
"","97239","add_to_cart_checkout","DE Checkoutsuite","Thu Oct 23 16:21:02 UTC 2025","passed","Thu Oct 23 16:22:40 UTC 2025","","Checkout\Checkout_DE\Scalapay_De_checkout.spec.ts","",""
"","37552","add_to_cart_checkout","ui","Thu Oct 23 16:21:37 UTC 2025","passed","Thu Oct 23 16:22:14 UTC 2025","","Checkout\Checkout_fr\SeQura_checkout.spec.ts","",""
"","28260","add_to_cart_checkout","IT Checkoutsuite","Thu Oct 23 16:32:47 UTC 2025","passed","Thu Oct 23 16:33:15 UTC 2025","","Checkout\Checkout_IT\StripeIt_checkout.spec.ts","",""
"","91358","add_to_cart_checkout","DE Checkoutsuite","Thu Oct 23 16:22:40 UTC 2025","passed","Thu Oct 23 16:24:11 UTC 2025","","Checkout\Checkout_DE\StripeDe_checkout.spec.ts","",""
"","58274","Checkout_Fr_API","api","Fri Oct 24 16:02:47 UTC 2025","passed","Fri Oct 24 16:03:45 UTC 2025","","Checkout/Checkout_API/Checkout_FR_API.spec.ts","",""
"","45144","add_to_cart_checkout","FR Checkoutsuite","Thu Oct 23 16:22:04 UTC 2025","passed","Thu Oct 23 16:22:49 UTC 2025","","Checkout\Checkout_FR\Klarna_checkout.spec.ts","",""
"","62470","Checkout_Fr_API","Checkout_API_Suites","Fri Oct 24 16:02:47 UTC 2025","passed","Fri Oct 24 16:03:49 UTC 2025","","Checkout/Checkout_API/Checkout_FR_API.spec.ts","",""
"","37431","add_to_cart_checkout","FR Checkoutsuite","Thu Oct 23 16:30:28 UTC 2025","passed","Thu Oct 23 16:31:06 UTC 2025","","Checkout\Checkout_FR\Strip_checkout.spec.ts","",""
"","120164","add_to_cart_checkout","ui","Thu Oct 23 16:21:32 UTC 2025","broken","Thu Oct 23 16:23:32 UTC 2025","","Checkout\Checkout_fr\Scalapay_checkout.spec.ts","",""
"","43007","add_to_cart_checkout","IT Checkoutsuite","Thu Oct 23 16:32:04 UTC 2025","passed","Thu Oct 23 16:32:47 UTC 2025","","Checkout\Checkout_IT\SeQuraIt_checkout.spec.ts","",""
"","84045","add_to_cart_checkout","IT Checkoutsuite","Thu Oct 23 16:26:25 UTC 2025","passed","Thu Oct 23 16:27:49 UTC 2025","","Checkout\Checkout_IT\ScalapayIt_checkout.spec.ts","",""
